Study Identifier,Study Repository,Ethical Approval,Ethnicity,Disease Status,Age Range,Gender,Weight range and Height and/or BMI,Trial Type,Diet,Smoking Status,Drug Consumption,Alcohol Consumption,Metal Exposure,Malnutrition,Number of Groups,Inclusion Criteria,Exclusion Criteria,Fasting Status ,Treatment,Treatment Dose,Treatment Duration,Treatment Route,Treatment Vehicle,Urea,Creatinine,Hemoglobin,Hemocrit,Glucose,Total Cholesterol,HDL Cholesterol,LDL Cholesterol,Triglycerides,Total Protein,Albumin,Sodium,Potassium,Platelets,Bilirubin,ALT,ALP,GT,White Blood Count,Biofluid or Tissue,Volume or Quantity of Collection,Sample Storage Temperature,Sample Storage Duration,Location of Collection,Time from Collection to Freezing,Anticoagulant,Speed of Centrifugation,Temperature of Centrifugation,Time of Centrifugation,Arterial or Venous Blood ,Hemolysis,Mid Flow or Total Urine,Bacteriostatic Agent
ST000284,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000285,Metabolomics Workbench,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000291,Metabolomics Workbench,,,,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000292,Metabolomics Workbench,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000293,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000298,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,
ST000303,Metabolomics Workbench,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000304,Metabolomics Workbench,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000306,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000315,Metabolomics Workbench,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,
ST000329,Metabolomics Workbench,,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,
ST000336,Metabolomics Workbench,,,1,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000337,Metabolomics Workbench,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000342,Metabolomics Workbench,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,
ST000346,Metabolomics Workbench,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000355,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,
ST000356,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000367,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000368,Metabolomics Workbench,,,1,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000369,Metabolomics Workbench,,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,1,1,,,,
ST000381,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000382,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000383,Metabolomics Workbench,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000385,Metabolomics Workbench,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,1,1,,,,
ST000386,Metabolomics Workbench,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000387,Metabolomics Workbench,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000388,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000389,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000390,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,1,1,,,,
ST000391,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
ST000392,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000396,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000397,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000398,Metabolomics Workbench,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,1,1,,,,
ST000412,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000413,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000421,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000422,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000432,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000433,Metabolomics Workbench,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
ST000434,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000435,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000438,Metabolomics Workbench,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000439,Metabolomics Workbench,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000440,Metabolomics Workbench,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000443,Metabolomics Workbench,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000445,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000450,Metabolomics Workbench,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000477,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000483,Metabolomics Workbench,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
ST000502,Metabolomics Workbench,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000542,Metabolomics Workbench,,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000543,Metabolomics Workbench,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
MSV000078556,GNPS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078565,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSV000078586,GNPS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078589,GNPS,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078622,GNPS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078683,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078719,GNPS,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078726,GNPS,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078816,GNPS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078832,GNPS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078894,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078922,GNPS,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078938,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078993,GNPS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000079040,GNPS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000079104,GNPS,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000079105,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
